,job_simp,seniority,Avg,Upper_salary,Lower_salary,Employer_provided,Glassdoor_estimate,Location,Rating,Size,Type of ownership,Industry,Sector,Revenue,Age,Python_yn,R_yn,spark,aws,excel,SQL,ML,NLP,Visualisation
750,analyst,na,15.0,19.0,11.0,0,0,Bengaluru,4.5,1 to 50 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,₹1 to ₹5 million (INR),15,0,0,0,0,1,1,0,0,0
751,analyst,senior,12.0,15.0,9.0,1,0,Hyderabad,3.4,5001 to 10000 employees,Government,Health Care Services & Hospitals,Health Care,₹100 to ₹500 million (INR),56,0,0,0,0,1,0,0,0,0
752,analyst,na,12.0,15.0,9.0,0,0,Bengaluru,3.6,1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹25 to ₹50 million (INR),14,1,0,0,1,0,1,1,0,0
753,analyst,na,4.5,5.0,4.0,0,1,Pune,1.8,51 to 200 employees,Company - Private,IT Services,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,0,0,0,0
754,analyst,na,10.5,12.0,9.0,0,1,Delhi NCR,4.1,51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,₹25 to ₹50 million (INR),14,0,0,0,0,1,1,0,0,0
755,analyst,na,10.0,13.0,7.0,0,1,Mumbai,3.2,201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit,₹100 to ₹500 million (INR),51,0,0,0,0,1,0,0,0,0
756,analyst,na,4.5,6.0,3.0,1,0,Kolkata,4.5,501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services,₹500 million to ₹1 billion (INR),22,0,0,0,0,1,1,0,0,0
757,analyst,na,7.0,9.0,5.0,0,1,Pune,3.6,201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,₹50 to ₹100 million (INR),14,0,0,0,0,1,1,0,0,1
758,analyst,na,8.5,11.0,6.0,0,1,Bengaluru,4.1,201 to 500 employees,Company - Private,IT Services,Information Technology,₹10 to ₹25 million (INR),14,0,0,0,0,1,0,0,0,0
759,analyst,senior,14.5,18.0,11.0,0,1,Bengaluru,3.9,1001 to 5000 employees,Company - Public,Internet,Information Technology,₹5 to ₹10 billion (INR),25,0,0,0,0,0,0,0,0,0
760,analyst,na,6.0,8.0,4.0,1,0,Hyderabad,3.9,1 to 50 employees,Nonprofit Organization,Banks & Credit Unions,Finance,₹100 to ₹500 million (INR),14,0,0,0,0,1,0,0,0,0
761,analyst,na,9.5,12.0,7.0,0,1,Delhi NCR,4.3,51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,₹5 to ₹10 million (INR),14,0,0,0,0,0,1,0,0,0
762,analyst,na,4.5,6.0,3.0,0,1,Delhi NCR,3.6,501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,₹100 to ₹500 million (INR),39,0,0,0,0,1,0,0,0,0
